No;Nama;latitude;longitude;nama_google;isna
459;Kantor Pertanahan Kota Ternate, Provinsi Maluku Utara;0.7893974;127.3791156;BPN Kota Ternate;0
460;Kantor Pertanahan Kabupaten Halmahera Barat, Provinsi Maluku Utara;1.0803287;127.4776458;Kantor Pertanahan Kab. Halbar Jailolo;0
461;Kantor Pertanahan Kabupaten Halmahera Tengah, Provinsi Maluku Utara;0.3296137;127.8591277;Kantor Pertanahan Kabupaten Halmahera Tengah;0
462;Kantor Pertanahan Kota Tidore Kepulauan, Provinsi Maluku Utara;0.6646871;127.4482279;Kantor Pertanahan Kota Tidore Kepulauan;0
463;Kantor Pertanahan Kabupaten Halmahera Selatan, Provinsi Maluku Utara;-0.6435621;127.4964204;Kantor Pertanahan Kab. Halmahera Selatan;0
464;Kantor Pertanahan Kabupaten Halmahera Utara, Provinsi Maluku Utara;1.7187511;127.9938682;Kantor Pertanahan Kabupaten Halmahera Utara;0
465;Kantor Pertanahan Kabupaten Halmahera Timur, Provinsi Maluku Utara;0.6821038;128.2967376;Kantor Pertanahan Kabupaten Halmahera Timur;0
466;Kantor Pertanahan Kabupaten Kepulauan Sula, Provinsi Maluku Utara;-2.0635582;125.9811894;Kantor Pertanahan Kabupaten Kepulauan Sula;0
467;Kantor Pertanahan Kabupaten Pulau Morotai, Provinsi Maluku Utara;2.0612307;128.3049126;BPN Pulau Morotai;0
468;Kantor Wilayah Badan Pertanahan Nasional Provinsi Banten;-6.1708909;106.1644724;Kantor Wilayah Badan Pertanahan Nasional Provinsi Banten;0
469;Kantor Pertanahan Kabupaten Serang, Provinsi Banten;-6.1132545;106.1415355;Kantor Pertanahan Kabupaten Serang ATR/BPN;0
470;Kantor Pertanahan Kabupaten Pandeglang, Provinsi Banten;-6.3126011;106.1011772;Kantor Pertanahan Kabupaten Pandeglang;0
471;Kantor Pertanahan Kabupaten Lebak, Provinsi Banten;-6.3557128;106.2780442;Kantor Pertanahan Kabupaten Lebak;0
472;Kantor Pertanahan Kabupaten Tangerang, Provinsi Banten;-6.2746961;106.4824443;BPN Kabupaten Tangerang;0
473;Kantor Pertanahan Kota Tangerang, Provinsi Banten;-6.1948257;106.6310241;ATR/BPN Kantor Pertanahan Kota Tangerang;0
474;Kantor Pertanahan Kota Cilegon, Provinsi Banten;-6.0327753;106.0662682;Kantor Pertanahan Cilegon ATR/BPN;0
475;Kantor Pertanahan Kota Tangerang Selatan, Provinsi Banten;-6.3070023;106.6862269;Kantor Pertanahan Kota Tangerang Selatan;0
476;Kantor Pertanahan Kota Serang, Provinsi Banten;-6.1132545;106.1415355;Kantor Pertanahan Kabupaten Serang ATR/BPN;0
477;Kantor Wilayah Badan Pertanahan Nasional Provinsi Kepulauan Bangka Belitung;-2.1563944;106.1642905;Kantor Wilayah BPN Provinsi Kep. Bangka Belitung;0
478;Kantor Pertanahan Kota Pangkal Pinang, Provinsi Kepulauan Bangka Belitung;-2.1238498;106.1044524;Kantor Pertanahan Kota Pangkalpinang;0
479;Kantor Pertanahan Kabupaten Bangka, Provinsi Kepulauan Bangka Belitung;-1.8843154;106.1016155;Kantor Pertanahan Kabupaten Bangka;0
480;Kantor Pertanahan Kabupaten Belitung, Provinsi Kepulauan Bangka Belitung;-2.7363361;107.6427645;Kantor Pertanahan Kabupaten Belitung;0
481;Kantor Pertanahan Kabupaten Bangka Tengah, Provinsi Kepulauan Bangka Belitung;-2.5186469;106.4175372;Kantor Pertanahan Kabupaten Bangka Tengah;0
482;Kantor Pertanahan Kabupaten Bangka Selatan, Provinsi Kepulauan Bangka Belitung;-3.0248819;106.5067112;BPN Bangka Selatan;0
483;Kantor Pertanahan Kabupaten Bangka Barat, Provinsi Kepulauan Bangka Belitung;-2.056075;105.2027359;Kantor Pertanahan Kabupaten Bangka Barat;0
484;Kantor Pertanahan Kabupaten Belitung Timur, Provinsi Kepulauan Bangka Belitung;-2.8847348;108.2378519;Kantor Pertanahan Kabupaten Belitung Timur;0
485;Kantor Wilayah Badan Pertanahan Nasional Provinsi Gorontalo;0.5642759;123.0861916;Kantor Wilayah Badan Pertanahan Nasional Provinsi Gorontalo;0
486;Kantor Pertanahan Kota Gorontalo, Provinsi Gorontalo;0.525836;123.0595427;Kementrian Agraria Dan Tata Ruang / Badan Pertanahan Nasional Kantor Kota Gorontalo;0
487;Kantor Pertanahan Kabupaten Gorontalo, Provinsi Gorontalo;0.6301878;122.9811713;Kantor Pertanahan Kabupaten Gorontalo;0
488;Kantor Pertanahan Kabupaten Boalemo, Provinsi Gorontalo;0.5234748;122.3273253;Kantor Pertanahan Kabupaten Boalemo;0
489;Kantor Pertanahan Kabupaten Pohuwato, Provinsi Gorontalo;0.4678881;121.953329;Kantor Pertanahan Kabupaten Pohuwato;0
490;Kantor Pertanahan Kabupaten Bone Bolango, Provinsi Gorontalo;0.5559713;123.1292529;Kantor Pertanahan Kabupaten Bone Bolango;0
491;Kantor Pertanahan Kabupaten Gorontalo Utara, Provinsi Gorontalo;0.7947284;122.8635598;Kantor Pertanahan Kab. Gorontalo Utara;0
492;Kantor Wilayah Badan Pertanahan Nasional Provinsi Sulawesi Barat;-2.6635417;118.8527316;Kantor Wilayah Badan Pertanahan Nasional Provinsi Sulawesi Barat;0
493;Kantor Pertanahan Kabupaten Mamasa, Provinsi Sulawesi Barat;-2.9486792;119.3716797;BPN;0
494;Kantor Pertanahan Kabupaten Pasangkayu, Provinsi Sulawesi Barat;-1.1809895;119.3487091;Kantor Pertanahan Kab. Pasangkayu;0
495;Kantor Pertanahan Kabupaten Polewali Mandar, Provinsi Sulawesi Barat;-3.407118;119.3096836;BPN Kabupaten Polewali Mandar;0
496;Kantor Pertanahan Kabupaten Majene, Provinsi Sulawesi Barat;-3.5350284;118.9929741;Kantor Pertanahan Kabupaten Majene;0
497;Kantor Pertanahan Kabupaten Mamuju, Provinsi Sulawesi Barat;-2.6772086;118.8916166;KANTOR PERTANAHAN KAB MAMUJU;0
498;Kantor Pertanahan Kabupaten Mamuju Tengah, Provinsi Sulawesi Barat;-2.0638785;119.2871583;Kantor Pertanahan Kabupaten Mamuju Tengah;0
499;Kantor Wilayah Badan Pertanahan Nasional Provinsi Kepulauan Riau;0.9201497;104.4614145;Kantor Wilayah BPN Provinsi Kepulauan Riau;0
500;Kantor Pertanahan Kabupaten Bintan, Provinsi Kepulauan Riau;0.9971108;104.5132181;Kantor Pertanahan Kabupaten Bintan;0
