No;Nama;latitude;longitude;nama_google;isna
83;Kantor Pertanahan Kabupaten Ogan Komering Ulu Timur, Provinsi Sumatera Selatan;-4.3771461;104.3529305;Kantor Pertanahan Kabupaten OKU Timur;0
84;Kantor Pertanahan Kabupaten Ogan Ilir, Provinsi Sumatera Selatan;-3.2097936;104.6403139;Kantor Pertanahan Kabupaten Ogan Ilir;0
85;Kantor Pertanahan Kabupaten Ogan Komering Ulu Selatan, Provinsi Sumatera Selatan;-4.5385893;104.0642381;Kantor Pertanahan Kabupaten OKUS;0
86;Kantor Pertanahan Kabupaten Empat Lawang, Provinsi Sumatera Selatan;-3.6397836;103.0756149;Kantor Pertanahan Kabupaten Empat Lawang;0
87;Kantor Pertanahan Kabupaten Musi Rawas Utara, Provinsi Sumatera Selatan;-2.7076225;102.9093938;Kantor Pertanahan Kabupaten Musi Rawas Utara;0
88;Kantor Pertanahan Kabupaten Penukal Abab Lematang Ilir, Provinsi Sumatera Selatan;-3.2987653;103.8540927;Kantor Pertanahan Kabupaten Penukal Abab Lematang Ilir;0
89;Kantor Wilayah Badan Pertanahan Nasional Provinsi Riau;0.5135795;101.445753;Kantor Wilayah BPN Provinsi Riau;0
90;Kantor Pertanahan Kota Pekanbaru, Provinsi Riau;0.4878592;101.3771972;Kantor Pertanahan Kota Pekanbaru;0
91;Kantor Pertanahan Kabupaten Bengkalis, Provinsi Riau;1.4675276;102.111216;Kementerian ATR/BPN Kantor Pertanahan Kabupaten Bengkalis;0
92;Kantor Pertanahan Kabupaten Indragiri Hulu, Provinsi Riau;-0.3933053;102.4366572;Badan Pertanahan Nasional Inhu;0
93;Kantor Pertanahan Kabupaten Indragiri Hilir, Provinsi Riau;-0.3156694;103.1571201;Kantor ATR Badan Pertanahan Kabupaten Indragiri Hilir;0
94;Kantor Pertanahan Kabupaten Kampar, Provinsi Riau;0.3328206;101.0143882;Badan Pertanahan Nasional - Kantor Pertanahan Kabupaten Kampar;0
95;Kantor Pertanahan Kota Dumai, Provinsi Riau;1.6049763;101.3877423;Kantor BPN Kota Dumai;0
96;Kantor Pertanahan Kabupaten Rokan Hulu, Provinsi Riau;0.9012827;100.3049581;Kantor Pertanahan Kabupaten Rokan Hulu;0
97;Kantor Pertanahan Kabupaten Rokan Hilir, Provinsi Riau;2.1098154;100.8276802;Kantor Pertanahan Kab. Rokan Hilir;0
98;Kantor Pertanahan Kabupaten Siak, Provinsi Riau;0.8160586;102.0226187;Kementerian ATR/BPN Kantor Pertanahan Kabupaten Siak;0
99;Kantor Pertanahan Kabupaten Kuantan Singingi, Provinsi Riau;-0.5134723;101.563404;Kantor Pertanahan Kabupaten Kuantan Singingi;0
100;Kantor Pertanahan Kabupaten Pelalawan, Provinsi Riau;0.3841776;101.8238938;Kantor Pertanahan Kabupaten Pelalawan;0
101;Kantor Pertanahan Kabupaten Kepulauan Meranti, Provinsi Riau;0.9998884;102.7267912;BPN Meranti;0
102;Kantor Wilayah Badan Pertanahan Nasional Provinsi Jambi;-1.603646;103.576237;Kantor Wilayah BPN Prov Jambi;0
103;Kantor Pertanahan Kota Jambi, Provinsi Jambi;-1.6114215;103.630209;Kantor Pertanahan Kota Jambi;0
104;Kantor Pertanahan Kabupaten Batanghari, Provinsi Jambi;-1.7136833;103.2633683;ATR/ BPN Kantah Kab Batanghari;0
105;Kantor Pertanahan Kabupaten Bungo, Provinsi Jambi;-1.5145895;102.1125166;Kantor Pertanahan Kabupaten Bungo;0
106;Kantor Pertanahan Kabupaten Merangin, Provinsi Jambi;-2.0620735;102.2728933;BADAN PERTANAHAN NASIONAL;0
107;Kantor Pertanahan Kabupaten Kerinci, Provinsi Jambi;-2.0995146;101.4628599;Kantor Pertanahan Kabupaten Kerinci;0
108;Kantor Pertanahan Kabupaten Tanjung Jabung Barat, Provinsi Jambi;-0.8264433;103.4637905;Kantor Pertanahan Tanjung Jabung Barat;0
109;Kantor Pertanahan Kabupaten Sarolangun, Provinsi Jambi;-2.3106519;102.7543196;Kantor Pertanahan Kabupaten Sarolangun;0
110;Kantor Pertanahan Kabupaten Tebo, Provinsi Jambi;-1.469587;102.35436;Kantor Pertanahan Kabupaten Tebo;0
111;Kantor Pertanahan Kabupaten Muaro Jambi, Provinsi Jambi;-1.4526427;103.5153508;Kantor Pertanahan BPN Muaro Jambi;0
112;Kantor Pertanahan Kabupaten Tanjung Jabung Timur, Provinsi Jambi;-1.2115168;103.7938235;ATR/ BPN Kantah Kab Tanjung Jabung Timur;0
113;Kantor Pertanahan Kota Sungai Penuh, Provinsi Jambi;-2.0574989;101.3876858;Kantor Pertanahan Kota Sungai Penuh;0
114;Kantor Wilayah Badan Pertanahan Nasional Provinsi Bengkulu;-3.79329;102.270408;BPN Kanwil Provinsi Bengkulu;0
115;Kantor Pertanahan Kabupaten Rejang Lebong, Provinsi Bengkulu;-3.4780212;102.5338638;Kantor Pertanahan ( BPN ) Rejang Lebong;0
116;Kantor Pertanahan Kabupaten Bengkulu Utara, Provinsi Bengkulu;-3.437903;102.198154;Kantor Pertanahan Kab. Bengkulu Utara;0
117;Kantor Pertanahan Kabupaten Bengkulu Selatan, Provinsi Bengkulu;-4.4727063;102.9025257;Kantor Pertanahan Kab. Bengkulu Selatan;0
118;Kantor Pertanahan Kota Bengkulu, Provinsi Bengkulu;-3.7988727;102.269224;Badan Pertanahan Nasional - Kantor Pertanahan Kota Bengkulu;0
119;Kantor Pertanahan Kabupaten Kaur, Provinsi Bengkulu;-4.7610716;103.3525412;Kantor Pertanahan Kabupaten Kaur;0
120;Kantor Pertanahan Kabupaten Seluma, Provinsi Bengkulu;-4.0703308;102.566225;Kantor Pertanahan Kabupaten Seluma;0
121;Kantor Pertanahan Kabupaten Kepahiang, Provinsi Bengkulu;-3.6190107;102.5607413;Kantor Pertanahan Kab. Kepahiang;0
122;Kantor Pertanahan Kabupaten Mukomuko, Provinsi Bengkulu;-2.5491061;101.1065444;Kantor Pertanahan Kabupaten Mukomuko;0
123;Kantor Pertanahan Kabupaten Lebong, Provinsi Bengkulu;-3.1610244;102.1720167;Kantor Pertanahan Kabupaten Lebong;0
124;Kantor Pertanahan Kabupaten Bengkulu Tengah, Provinsi Bengkulu;-3.7742508;102.3873545;Kantor Pertanahan Kabupaten Bengkulu Tengah;0
125;Kantor Wilayah Badan Pertanahan Nasional Provinsi Lampung;-5.442417;105.2553351;Kantor Wilayah Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional Provinsi Lampung;0
126;Kantor Pertanahan Kota Bandar Lampung, Provinsi Lampung;-5.442417;105.2553351;Kantor Wilayah Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional Provinsi Lampung;0
127;Kantor Pertanahan Kabupaten Lampung Selatan, Provinsi Lampung;-5.7151836;105.5859733;Kantor Pertanahan Kabupaten Lampung Selatan;0
128;Kantor Pertanahan Kabupaten Lampung Tengah, Provinsi Lampung;-5.0026551;105.2088632;BPN Lampung Tengah;0
129;Kantor Pertanahan Kabupaten Lampung Utara, Provinsi Lampung;-4.8494341;104.9107791;Kantor Pertanahan Kab Lampung Utara;0
130;Kantor Pertanahan Kabupaten Lampung Barat, Provinsi Lampung;-5.0167693;104.0593434;Kantor Pertanahan Kab. Lampung Barat;0
131;Kantor Pertanahan Kabupaten Tulang Bawang, Provinsi Lampung;-4.4958387;105.219034;Kantor Pertanahan Kabupaten Tulang Bawang;0
132;Kantor Pertanahan Kabupaten Tanggamus, Provinsi Lampung;-5.4821395;104.6812508;BPN Tangamus;0
133;Kantor Pertanahan Kota Metro, Provinsi Lampung;-5.1144143;105.3103389;Kantor Pertanahan Metro;0
134;Kantor Pertanahan Kabupaten Way Kanan, Provinsi Lampung;-4.5201654;104.5072302;Kantor Pertanahan Kabupaten Way Kanan;0
135;Kantor Pertanahan Kabupaten Lampung Timur, Provinsi Lampung;-5.0440918;105.5257664;Kantor Pertanahan Kabupaten Lampung Timur;0
136;Kantor Pertanahan Kabupaten Pesawaran, Provinsi Lampung;-5.3966377;105.0687016;Kantor ATR/BPN Kab.Pesawaran;0
137;Kantor Pertanahan Kabupaten Pringsewu, Provinsi Lampung;-5.3467885;105.0076155;Kantor Pertanahan ATR/ BPN Pringsewu;0
138;Kantor Pertanahan Kabupaten Tulang Bawang Barat, Provinsi Lampung;-4.5195914;105.0718307;Kementerian ATR / BPN Kabupaten Tulang Bawang Barat;0
139;Kantor Pertanahan Kabupaten Mesuji, Provinsi Lampung;-4.0158769;105.2497074;Kantor Badan Pertanahan Nasional (BPN) Mesuji;0
140;Kantor Pertanahan Kabupaten Pesisir Barat, Provinsi Lampung;-5.2050162;103.9373672;Kantor Pertanahan Kabupaten Pesisir Barat;0
141;Kantor Wilayah Badan Pertanahan Nasional Provinsi DKI Jakarta;-6.1819095;106.8110537;Kanwil BPN DKI Jakarta;0
142;Kantor Pertanahan Kota Administrasi Jakarta Pusat, Provinsi DKI Jakarta;-6.15647;106.8424112;Kantor Pertanahan Kota Administrasi Jakarta Pusat;0
143;Kantor Pertanahan Kota Administrasi Jakarta Selatan, Provinsi DKI Jakarta;-6.3100044;106.8393679;Kantor Pertanahan Kota Administrasi Jakarta Selatan;0
144;Kantor Pertanahan Kota Administrasi Jakarta Barat, Provinsi DKI Jakarta;-6.1792977;106.742818;Kantor Pertanahan Kota Administratif Jakarta Barat;0
145;Kantor Pertanahan Kota Administrasi Jakarta Timur, Provinsi DKI Jakarta;-6.2149792;106.9456896;Kantor Pertanahan Kota Administrasi Jakarta Timur;0
146;Kantor Pertanahan Kota Administrasi Jakarta Utara, Provinsi DKI Jakarta;-6.1167135;106.8955316;Kantor Pertanahan Kota Administrasi Jakarta Utara;0
147;Kantor Wilayah Badan Pertanahan Nasional Provinsi Jawa Barat;-6.9409925;107.656961;Kantor Wilayah BPN Provinsi Jawa Barat;0
148;Kantor Pertanahan Kabupaten Bekasi, Provinsi Jawa Barat;-6.3334335;107.1340705;Badan Pertanahan Nasional - Kantor Pertanahan Kabupaten Bekasi;0
149;Kantor Pertanahan Kabupaten Karawang, Provinsi Jawa Barat;-6.3023286;107.3034641;Badan Pertanahan Nasional - Kantor Pertanahan Kabupaten Karawang;0
150;Kantor Pertanahan Kabupaten Purwakarta, Provinsi Jawa Barat;-6.4531126;107.4804458;ATR/BPN Kabupaten Purwakarta;0
151;Kantor Pertanahan Kabupaten Subang, Provinsi Jawa Barat;-6.5568069;107.7650056;Badan Pertanahan Nasional - Kantor Pertanahan Kabupaten Subang;0
152;Kantor Pertanahan Kabupaten Bogor, Provinsi Jawa Barat;-6.4846419;106.8340521;Kementerian ATR/BPN Kantor Pertanahan Kabupaten Bogor;0
153;Kantor Pertanahan Kota Bogor I, Provinsi Jawa Barat;-6.5924797;106.8021905;Badan Pertanahan Nasional;0
154;Kantor Pertanahan Kota Bogor II, Provinsi Jawa Barat;-6.5924797;106.8021905;Badan Pertanahan Nasional;0
155;Kantor Pertanahan Kabupaten Sukabumi, Provinsi Jawa Barat;-6.9195083;106.9281644;Kantor Pertanahan Kabupaten Sukabumi;0
156;Kantor Pertanahan Kota Sukabumi, Provinsi Jawa Barat;-6.9195083;106.9281644;Kantor Pertanahan Kabupaten Sukabumi;0
157;Kantor Pertanahan Kabupaten Cianjur, Provinsi Jawa Barat;-6.8081617;107.1561203;Kantor Pertanahan Kabupaten Cianjur;0
158;Kantor Pertanahan Kabupaten Bandung, Provinsi Jawa Barat;-7.019505;107.527616;BPN Kantor Pertanahan Kabupaten Bandung;0
159;Kantor Pertanahan Kota Bandung, Provinsi Jawa Barat;-6.9413367;107.6575781;Kantor Agraria dan Pertanahan (ATR / BPN) Kota Bandung;0
160;Kantor Pertanahan Kabupaten Sumedang, Provinsi Jawa Barat;-6.8606806;107.9155215;Kantor Pertanahan (BPN)-Kabupaten Sumedang;0
161;Kantor Pertanahan Kabupaten Garut, Provinsi Jawa Barat;-7.2145493;107.9021347;Kantor Pertanahan Kabupaten Garut (Lama);0
162;Kantor Pertanahan Kabupaten Tasikmalaya, Provinsi Jawa Barat;-7.3390153;108.1512144;ATR/BPN - Kantor Pertanahan Kabupaten Tasikmalaya;0
163;Kantor Pertanahan Kabupaten Ciamis, Provinsi Jawa Barat;-7.3299837;108.366153;Badan Pertanahan Nasional Kabupaten Ciamis;0
164;Kantor Pertanahan Kabupaten Cirebon, Provinsi Jawa Barat;-6.763491;108.4797791;Kantor Pertanahan Kabupaten Cirebon;0
165;Kantor Pertanahan Kota Cirebon, Provinsi Jawa Barat;-6.7070122;108.5508204;ATR/BPN Kantah Kota Cirebon;0
166;Kantor Pertanahan Kabupaten Kuningan, Provinsi Jawa Barat;-6.9699529;108.4986816;Badan Pertanahan Nasional - Kantor Pertanahan Kabupaten Kuningan;0
167;Kantor Pertanahan Kabupaten Majalengka, Provinsi Jawa Barat;-6.8377712;108.2399697;Kantor Pertanahan Kabupaten Majalengka;0
168;Kantor Pertanahan Kabupaten Indramayu, Provinsi Jawa Barat;-6.3391537;108.3368019;Badan Pertanahan Nasional;0
169;Kantor Pertanahan Kota Bekasi, Provinsi Jawa Barat;-6.2574463;107.0100824;Badan Pertanahan Nasional;0
170;Kantor Pertanahan Kota Depok, Provinsi Jawa Barat;-6.4235885;106.8281722;Kantor Pertanahan Kota Depok;0
171;Kantor Pertanahan Kota Cimahi, Provinsi Jawa Barat;-6.860533;107.545678;Badan Pertanahan Nasional Kota Cimahi;0
172;Kantor Pertanahan Kota Tasikmalaya, Provinsi Jawa Barat;-7.3171661;108.2369717;Kantor Pertanahan Kota Tasikmalaya;0
173;Kantor Pertanahan Kota Banjar, Provinsi Jawa Barat;-7.3643555;108.5324731;Kantor Pertanahan Kota Banjar;0
174;Kantor Pertanahan Kabupaten Bandung Barat, Provinsi Jawa Barat;-6.8330076;107.4656466;Kantor Pertanahan Kab. Bandung Barat;0
175;Kantor Pertanahan Kabupaten Pangandaran, Provinsi Jawa Barat;-7.6752958;108.6088748;Kantor Pertanahan Kabupaten Pangandaran;0
176;Kantor Pertanahan Kabupaten Bogor I, Provinsi Jawa Barat;-6.4846419;106.8340521;Kementerian ATR/BPN Kantor Pertanahan Kabupaten Bogor;0
177;Kantor Pertanahan Kabupaten Bogor II, Provinsi Jawa Barat;-6.4846419;106.8340521;Kementerian ATR/BPN Kantor Pertanahan Kabupaten Bogor;0
178;Kantor Wilayah Badan Pertanahan Nasional Provinsi Jawa Tengah;-6.9909398;110.4296767;Kanwil ATR/BPN Prov Jateng;0
179;Kantor Pertanahan Kota Semarang, Provinsi Jawa Tengah;-6.9917843;110.4291506;Kantor Pertanahan Kota Semarang;0
180;Kantor Pertanahan Kota Surakarta, Provinsi Jawa Tengah;-7.5551538;110.85468;Kantor ATR/ Badan Pertanahan Nasional Kota Surakarta;0
181;Kantor Pertanahan Kota Salatiga, Provinsi Jawa Tengah;-7.3194005;110.490453;ATR/BPN Kantah Kota Salatiga;0
182;Kantor Pertanahan Kota Magelang, Provinsi Jawa Tengah;-7.4735914;110.2138829;Kantor Pertanahan Kota Magelang;0
183;Kantor Pertanahan Kota Pekalongan, Provinsi Jawa Tengah;-6.8962347;109.6619627;Kantor Pertanahan Kota Pekalongan;0
184;Kantor Pertanahan Kota Tegal, Provinsi Jawa Tengah;-6.8581919;109.1307532;ATR/BPN Kantah Kota Tegal;0
185;Kantor Pertanahan Kabupaten Semarang, Provinsi Jawa Tengah;-7.1132598;110.412356;Kantor Pertanahan Kabupaten Semarang;0
186;Kantor Pertanahan Kabupaten Kendal, Provinsi Jawa Tengah;-6.9305538;110.1862897;Kantor Pertanahan Kabupaten Kendal;0
187;Kantor Pertanahan Kabupaten Demak, Provinsi Jawa Tengah;-6.8980713;110.6348227;Kantor Pertanahan (ATR/BPN) Kantah Kabupaten Demak;0
188;Kantor Pertanahan Kabupaten Grobogan, Provinsi Jawa Tengah;-7.0778463;110.9164553;Kantor Pertanahan (ATR/BPN) Kabupaten Grobogan;0
189;Kantor Pertanahan Kabupaten Pati, Provinsi Jawa Tengah;-6.7608994;111.0133146;Kantor Pertanahan Kabupaten Pati;0
190;Kantor Pertanahan Kabupaten Blora, Provinsi Jawa Tengah;-6.9715054;111.4107693;Kantor Pertanahan (ATR / BPN) Kabupaten Blora;0
191;Kantor Pertanahan Kabupaten Jepara, Provinsi Jawa Tengah;-6.5899663;110.6758732;Kantor Pertanahan (ATR/BPN) Kabupaten Jepara;0
192;Kantor Pertanahan Kabupaten Rembang, Provinsi Jawa Tengah;-6.7196532;111.3466108;Kementerian ATR/BPN Kantor Pertanahan Kabupaten Rembang;0
193;Kantor Pertanahan Kabupaten Kudus, Provinsi Jawa Tengah;-6.8148544;110.8593709;Kantor Pertanahan (ATR/BPN) Kabupaten Kudus;0
194;Kantor Pertanahan Kabupaten Sukoharjo, Provinsi Jawa Tengah;-6.7608994;111.0133146;Kantor Pertanahan Kabupaten Pati;0
195;Kantor Pertanahan Kabupaten Boyolali, Provinsi Jawa Tengah;-7.5419813;110.5960759;Kantor Pertanahan Kabupaten Boyolali;0
196;Kantor Pertanahan Kabupaten Karanganyar, Provinsi Jawa Tengah;-7.5992655;110.9612552;Kantor Pertanahan Kabupaten Karanganyar;0
197;Kantor Pertanahan Kabupaten Klaten, Provinsi Jawa Tengah;-7.6955319;110.6086173;Kantor Pertanahan (ATR/BPN) Kabupaten Klaten;0
198;Kantor Pertanahan Kabupaten Sragen, Provinsi Jawa Tengah;-7.4298405;111.0238509;BPN Kab. Sragen;0
199;Kantor Pertanahan Kabupaten Wonogiri, Provinsi Jawa Tengah;-7.813095;110.926275;Kantor Pertanahan Kabupaten Wonogiri (ATR/BPN);0
200;Kantor Pertanahan Kabupaten Magelang, Provinsi Jawa Tengah;-7.5872969;110.2198849;Kantor Pertanahan Kabupaten Magelang;0
201;Kantor Pertanahan Kabupaten Kebumen, Provinsi Jawa Tengah;-7.6681363;109.6686561;ATR/BPN Kabupaten Kebumen;0
202;Kantor Pertanahan Kabupaten Temanggung, Provinsi Jawa Tengah;-2.44565;117.8888;Badan Pertanahan Nasional (ATR/BPN) Temanggung;0
203;Kantor Pertanahan Kabupaten Wonosobo, Provinsi Jawa Tengah;-7.3560154;109.9055783;ATR/BPN Kantah Kab. Wonosobo;0
204;Kantor Pertanahan Kabupaten Purworejo, Provinsi Jawa Tengah;-7.7178289;110.0077088;Kantor Pertanahan Kabupaten Purworejo Provinsi Jawa Tengah absensi karyawan;0
205;Kantor Pertanahan Kabupaten Banyumas, Provinsi Jawa Tengah;-7.42644;109.2338728;Kantor Agraria Dan Tata Ruang BPN Kabupaten Banyumas;0
206;Kantor Pertanahan Kabupaten Banjarnegara, Provinsi Jawa Tengah;-7.3995811;109.683823;BPN Kab. Banjarnegara;0
207;Kantor Pertanahan Kabupaten Purbalingga, Provinsi Jawa Tengah;-7.3879538;109.3517669;ATR / BPN Kantor Pertanahan Kabupaten Purbalingga;0
208;Kantor Pertanahan Kabupaten Cilacap, Provinsi Jawa Tengah;-7.7265158;109.0080351;Kantor Pertanahan (ATR/BPN) Kabupaten Cilacap;0
209;Kantor Pertanahan Kabupaten Pekalongan, Provinsi Jawa Tengah;-6.8959007;109.6221923;BPN Kab. Pekalongan;0
210;Kantor Pertanahan Kabupaten Batang, Provinsi Jawa Tengah;-6.9097233;109.7199329;Kantor Pertanahan (ATR/BPN) Kabupaten Batang;0
211;Kantor Pertanahan Kabupaten Brebes, Provinsi Jawa Tengah;-6.8738089;109.0466679;Kantor Pertanahan Kabupaten Brebes;0
212;Kantor Pertanahan Kabupaten Pemalang, Provinsi Jawa Tengah;-6.8952592;109.3883757;ATR/BPN Pemalang;0
213;Kantor Pertanahan Kabupaten Tegal, Provinsi Jawa Tengah;-6.9792186;109.1389574;Kantor Pertanahan Kabupaten Tegal;0
214;Kantor Wilayah Badan Pertanahan Nasional Provinsi Jawa Timur;-7.3300174;112.7284428;Kantor Wilayah Badan Pertanahan Nasional ( BPN ) Provinsi Jawa Timur;0
215;Kantor Pertanahan Kota Surabaya I, Provinsi Jawa Timur;-7.3300174;112.7284428;Kantor Wilayah Badan Pertanahan Nasional ( BPN ) Provinsi Jawa Timur;0
216;Kantor Pertanahan Kota Mojokerto, Provinsi Jawa Timur;-7.4721509;112.4387419;Badan Pertanahan Nasional - Kantor Pertanahan Kota Mojokerto;0
217;Kantor Pertanahan Kota Madiun, Provinsi Jawa Timur;-7.6203656;111.5246872;Kantor Pertanahan Kota Madiun;0
218;Kantor Pertanahan Kota Kediri, Provinsi Jawa Timur;-7.8015943;112.0083398;Badan Pertanahan Nasional;0
219;Kantor Pertanahan Kota Blitar, Provinsi Jawa Timur;-8.0948623;112.1737804;BPN Kota Blitar;0
220;Kantor Pertanahan Kota Malang, Provinsi Jawa Timur;-7.9732825;112.6708892;Kantor Pertanahan Kota Malang;0
221;Kantor Pertanahan Kota Pasuruan, Provinsi Jawa Timur;-7.645303;112.906895;Badan Pertanahan Nasional ( ATR/BPN ) Kota Pasuruan;0
222;Kantor Pertanahan Kota Probolinggo, Provinsi Jawa Timur;-7.7563678;113.2265984;KANTOR PERTANAHAN KOTA PROBOLINGGO;0
223;Kantor Pertanahan Kabupaten Gresik, Provinsi Jawa Timur;-7.1690112;112.6027896;BPN Kabupaten Gresik;0
224;Kantor Pertanahan Kabupaten Sidoarjo, Provinsi Jawa Timur;-7.4646268;112.7403641;Kantor Pertanahan Kabupaten Sidoarjo;0
225;Kantor Pertanahan Kabupaten Mojokerto, Provinsi Jawa Timur;-7.481804;112.440438;Kantor Pertanahan Kabupaten Mojokerto;0
226;Kantor Pertanahan Kabupaten Jombang, Provinsi Jawa Timur;-7.5457773;112.2366816;Kantor Pertanahan Kabupaten Jombang;0
227;Kantor Pertanahan Kabupaten Bangkalan, Provinsi Jawa Timur;-7.0447306;112.7376403;Badan Pertanahan Nasional;0
228;Kantor Pertanahan Kabupaten Sampang, Provinsi Jawa Timur;-7.185146;113.2368847;BPN SAMPANG;0
229;Kantor Pertanahan Kabupaten Sumenep, Provinsi Jawa Timur;-7.0146619;113.8751815;Kantor Pertanahan Kabupaten Sumenep;0
230;Kantor Pertanahan Kabupaten Pamekasan, Provinsi Jawa Timur;-7.1606994;113.4891102;Kantor Pertanahan Kabupaten Pamekasan;0
231;Kantor Pertanahan Kabupaten Bojonegoro, Provinsi Jawa Timur;-7.1562705;111.8844952;Kantor Pertanahan Kabupaten Bojonegoro;0
232;Kantor Pertanahan Kabupaten Tuban, Provinsi Jawa Timur;-6.8924146;112.040511;Badan Pertanahan Nasional Kantor Pertanahan Kabupaten Tuban;0
233;Kantor Pertanahan Kabupaten Lamongan, Provinsi Jawa Timur;-7.1202173;112.4191589;Kantor Pertanahan Kabupaten Lamongan;0
234;Kantor Pertanahan Kabupaten Madiun, Provinsi Jawa Timur;-7.6528961;111.5225528;Kantor Pertanahan Kabupaten Madiun;0
235;Kantor Pertanahan Kabupaten Ngawi, Provinsi Jawa Timur;-7.4064114;111.4517669;Kantor Pertanahan Kabupaten Ngawi;0
236;Kantor Pertanahan Kabupaten Magetan, Provinsi Jawa Timur;-7.6578639;111.3259937;Kantor Pertanahan Kabupaten Magetan;0
237;Kantor Pertanahan Kabupaten Ponorogo, Provinsi Jawa Timur;-7.8643774;111.4797674;ATR BPN Kantah Ponorogo;0
238;Kantor Pertanahan Kabupaten Pacitan, Provinsi Jawa Timur;-8.2123722;111.1007861;Kantor Pertanahan Kabupaten Pacitan;0
239;Kantor Pertanahan Kabupaten Kediri, Provinsi Jawa Timur;-7.8114817;111.9956336;ATR/BPN Kabupaten Kediri;0
240;Kantor Pertanahan Kabupaten Nganjuk, Provinsi Jawa Timur;-7.6113592;111.9021634;Kantor Pertanahan Kabupaten Nganjuk;0
241;Kantor Pertanahan Kabupaten Tulungagung, Provinsi Jawa Timur;-8.069214;111.9010865;Kantor Pertanahan Kabupaten Tulungagung;0
242;Kantor Pertanahan Kabupaten Trenggalek, Provinsi Jawa Timur;-8.0580599;111.7173312;Kantor Pertanahan Kabupaten Trenggalek;0
243;Kantor Pertanahan Kabupaten Blitar, Provinsi Jawa Timur;-8.0998787;112.1735882;BPN RI Kantor Pertanahan Kabupaten Blitar;0
244;Kantor Pertanahan Kabupaten Malang, Provinsi Jawa Timur;-7.9604344;112.6335732;Dinas Pertanahan Kabupaten Malang;0
245;Kantor Pertanahan Kabupaten Probolinggo, Provinsi Jawa Timur;-7.7624541;113.4358096;Kantor Pertanahan ATR/BPN Kabupaten Probolinggo;0
246;Kantor Pertanahan Kabupaten Pasuruan, Provinsi Jawa Timur;-7.6469902;112.9086047;Badan Pertanahan Nasional ( ATR/BPN ) Kabupaten Pasuruan;0
247;Kantor Pertanahan Kabupaten Lumajang, Provinsi Jawa Timur;-8.1350334;113.2150019;Kantor Badan Pertanahan Nasional;0
248;Kantor Pertanahan Kabupaten Jember, Provinsi Jawa Timur;-8.1801955;113.6924386;Kantor Pertanahan Kabupaten Jember;0
249;Kantor Pertanahan Kabupaten Situbondo, Provinsi Jawa Timur;-7.7082205;113.9985884;Badan Pertanahan Nasional - Kantor Pertanahan Kabupaten Situbondo;0
250;Kantor Pertanahan Kabupaten Bondowoso, Provinsi Jawa Timur;-7.9160277;113.829512;Kantor Badan Pertanahan Kabupaten Bondowoso;0
251;Kantor Pertanahan Kabupaten Banyuwangi, Provinsi Jawa Timur;-8.2135945;114.3744997;Kantor Pertanahan Kabupaten Banyuwangi;0
252;Kantor Pertanahan Kota Batu, Provinsi Jawa Timur;-7.8682095;112.5049292;Kantor Pertanahan Kota Batu;0
253;Kantor Pertanahan Kota Surabaya II, Provinsi Jawa Timur;-7.2380026;112.7340348;Kantor Pertanahan Kota Surabaya II;0
254;Kantor Wilayah Badan Pertanahan Nasional Provinsi D.I. Yogyakarta;-7.8095662;110.369339;Kanwil BPN D.I. Yogyakarta;0
255;Kantor Pertanahan Kabupaten Bantul, Provinsi D.I. Yogyakarta;-7.8955515;110.3464914;Badan Pertanahan Nasional ( ATR/BPN ) Kabupaten Bantul;0
256;Kantor Pertanahan Kabupaten Gunungkidul, Provinsi D.I. Yogyakarta;-7.9400603;110.5940382;Badan Pertanahan Nasional ( ATR/BPN ) Kabupaten Gunungkidul;0
257;Kantor Pertanahan Kabupaten Kulon Progo, Provinsi D.I. Yogyakarta;-7.8466308;110.1680253;Kantor Pertanahan ( ATR/BPN ) Kabupaten Kulon Progo;0
258;Kantor Pertanahan Kabupaten Sleman, Provinsi D.I. Yogyakarta;-7.7071405;110.3472756;Kantor Pertanahan Kabupaten Sleman;0
259;Kantor Pertanahan Kota Yogyakarta, Provinsi D.I. Yogyakarta;-7.8019762;110.3933242;Badan Pertanahan Nasional ( ATR / BPN ) Kota Yogyakarta;0
260;Kantor Wilayah Badan Pertanahan Nasional Provinsi Kalimantan Barat;-0.0446458;109.3218472;Kantor Wilayah ATR/BPN Provinsi Kalimantan Barat;0
261;Kantor Pertanahan Kota Pontianak, Provinsi Kalimantan Barat;-0.0356052;109.3333606;Kantor Pertanahan Kota Pontianak;0
262;Kantor Pertanahan Kabupaten Mempawah, Provinsi Kalimantan Barat;0.3498732;108.9638282;Badan Pertanahan Nasional Kabupaten Mempawah;0
263;Kantor Pertanahan Kabupaten Sambas, Provinsi Kalimantan Barat;1.3727665;109.285967;Badan Pertanahan Nasional Kabupaten Sambas (BPN);0
264;Kantor Pertanahan Kabupaten Sanggau, Provinsi Kalimantan Barat;0.121103;110.590017;Kantor Pertanahan Kab Sanggau;0
265;Kantor Pertanahan Kabupaten Sintang, Provinsi Kalimantan Barat;0.0742955;111.4937738;BPN Sintang;0
266;Kantor Pertanahan Kabupaten Kapuas Hulu, Provinsi Kalimantan Barat;0.88045;112.9239176;Kantor Pertanahan Kabupaten Kapuas Hulu;0
