npsn_isian;nama_isian;Jenjang;alamat_jalan;nama_dusun;desa_kelurahan;kecamatan;kabupaten;provinsi;lintang;bujur;latitude;longitude;nama_google;url;isna
69793323;KB PEDULI;PAUD Sederajat;DUSUN MULYA;Mulya;Alur Tani I;Kec. Tamiang Hulu;Kab. Aceh Tamiang;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69828603;KB PETUAH BANGSA;PAUD Sederajat;KAMPUNG LANDUH;-;Landuh;Kec. Rantau;Kab. Aceh Tamiang;Prov. Aceh;4.291.900.000.000;98.071.700.000.000;;;;;1
69812496;KB PUTRI FAQIRA;PAUD Sederajat;Kuala Peudawa Puntong;Dusun Meutia;Matang Rayeuk (Pr);Kec. Idi Timur;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69812447;KB PUTROE INTAN;PAUD Sederajat;Dusun Buket Rubek;-;Keude Dua;Kec. Darul Ihsan;Kab. Aceh Timur;Prov. Aceh;4.930.500.000.000;97.756.900.000.000;;;;;1
69828604;KB RAUDHATUL ULUM BANDA MULIA;PAUD Sederajat;JLN SUNGAI IYU - TELAGA MEUKU;Abadi;TELAGA MEUKU I;Kec. Banda Mulya;Kab. Aceh Tamiang;Prov. Aceh;4.479.434.500.000;98.175.647.300.000;;;;;1
69868321;KB SAKIINA;PAUD Sederajat;MEDAN - BANDA ACEH;TGK. DI LEUBU;Cot Tupah;Kec. Ganda Pura;Kab. Bireuen;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69798188;KB SBB CUT NYAK DHIEN;PAUD Sederajat;Gampong Pulo Rungkom Kecamatan Dewantara Kabupaten Aceh Utara;COT BAROH;Pulo Rungkom;Kec. Dewantara;Kab. Aceh Utara;Prov. Aceh;5.233.603.900.000;97.004.031.100.000;;;;;1
69798366;KB SBB PUTROE ACEH;PAUD Sederajat;Gampong Alue Buket Kecamatan Lhoksukon Kabupaten Aceh Utara;BLANG BARAT;Alue Buket;Kec. Lhoksukon;Kab. Aceh Utara;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
70029695;KB SEKOLAH INSPIRASI BANGSA;PAUD Sederajat;Dusun satelit Graha Kampung Kebun Tanah Terban ;satelit graha Kampung Tanah Terban;Kampung Jawa;Kec. Kejuruan Muda;Kab. Aceh Tamiang;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
70003965;KB Tanjung Mekar;PAUD Sederajat;Kampung Tanjung Saba;TANJUNG SABA;GURUN PANJANG SELATAN;Kec. Bayang;Kab. Pesisir Selatan;Prov. Sumatera Barat;0.000000000000;0.000000000000;;;;;1
69818240;KB TERPADU RISNA;PAUD Sederajat;MEDAN - BANDA ACEH;Simpang Empat;Seuneubok Peusangan;Kec. Peureulak;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69812419;KB TEUKU BUKET;PAUD Sederajat;MEDAN-BANDA ACEH DESA MATANG KUMBANG;-;Matang Kumbang;Kec. Simpang Ulim;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
70037843;KB TGK. DI PALOH;PAUD Sederajat;Dusun Tgk di Paloh;Tgk Di Paloh;Matang Keupula Lhee;Kec. Madat;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69962504;KB TUALANG;PAUD Sederajat;Desa Tualang Kec. Peureulak Kab. Aceh Timur;-;Tualang;Kec. Peureulak;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
70028847;KB TERPADU SUKA DAMAI;PAUD Sederajat;Dusun Makmur;MAKMUR;Suka Damai;Kec. Pante Beudari;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69812466;KB TERPADU ZAKYA RAHMI;PAUD Sederajat;JALAN MEDAN-BANDA ACEH;-;Labohan;Kec. Julok;Kab. Aceh Timur;Prov. Aceh;5.053.900.000.000;97.613.700.000.000;;;;;1
69868307;KB UDEUP SAREE;PAUD Sederajat;Tgk. Chiek Krueng Meuh;Cot Jeumpa;Pante Karya;Kec. Peusangan Siblah Krueng;Kab. Bireuen;Prov. Aceh;5.101.468.000.000;96.770.649.000.000;;;;;1
70043570;KB UNGGULAN IQRO;PAUD Sederajat;Jln Rukun No. 9 Blang Asan;-;Blang Asan;Kec. Kota Sigli;Kab. Pidie;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
70003862;KB ZAURA ASWAD;PAUD Sederajat;Jln Tanjung Tani - Ranto Panjang Gampong Paya Palas Kec. Ranto Peureulak Kab. Ac;-;Paya Palas;Kec. Ranto Peureulak;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
P9996711;Kirana Bestari;Kesetaraan;Gampong Buket Pala Kec. Ranto Peureulak Kab. Aceh Timur;-;Buket Pala Bsp;Kec. Ranto Peureulak;Kab. Aceh Timur;Prov. Aceh;4.726.837.600.000;97.718.445.500.000;;;;;1
K5655728;LKP AL RIDHA;Kursus;Dusun II Sepakat Desa Serapuh Asli, Langkat;-;Serapuh Asli;Kec. Tanjung Pura;Kab. Langkat;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
K9999096;LKP AlwyEnglish Courses;Kursus;Dusun Setia;-;Keude Blang;Kec. Idi Rayeuk;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
K9981485;Lpp benggalang mandiri;Kursus;Dusun Cot Tengkurak;DUSUN KOTA ;Ulee Rabo;Kec. Jeunib;Kab. Bireuen;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
10260503;PAUD ABA Sipirok;PAUD Sederajat;JL.MERDEKA NO.95 PASAR SIPIROK;-;Pasar Sipirok;Kec. Sipirok;Kab. Tapanuli Selatan;Prov. Sumatera Utara;1.603.100.000.000;99.272.000.000.000;;;;;1
69880541;PAUD Al - Hanifah;PAUD Sederajat;Seuneubok Panton;-;Seuneubok Panton;Kec. Darul Falah;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69932264;PAUD AL 0 HIJRAH;PAUD Sederajat;Kp. Nelayan Sebrang Paluh Kurau;XIV;Paluh Kurau;Kec. Hamparan Perak;Kab. Deli Serdang;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
P9998298;PAUD AL HADI;Kesetaraan;JL PERISAI PRIBUMI VII;-;B I N J A I;Kec. Medan Denai;Kota Medan;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
69964823;PAUD AL0KHAIRIYAH;PAUD Sederajat;Jl. TS. Mohd. Sech No. 52 Dusun III Suka Makmur;-;Pantai Gemi;Kec. Stabat;Kab. Langkat;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
69812449;PAUD AL-MUZANI;PAUD Sederajat;BUKIT MERIAM;Dusun I;Alue Gurep;Kec. Peureulak Timur;Kab. Aceh Timur;Prov. Aceh;4.689.700.000.000;97.887.000.000.000;;;;;1
69851989;PAUD Anak Ceria Palembayan;PAUD Sederajat;SAWAH LAWEH;SAWAH LAWEH;SALAREH AIA;Kec. Palembayan;Kab. Agam;Prov. Sumatera Barat;-0.118400000000;100.090.200.000.000;;;;;1
69940228;PAUD ANGGREK MANDIRI;PAUD Sederajat;Jl.Platina I Lingk.XVI Gg.Teratai;-;Titi Papan;Kec. Medan Deli;Kota Medan;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
69934524;Paud Aidil;PAUD Sederajat;Rianiate;Rianiate;Rianiate;Kec. Angkola Sangkunur;Kab. Tapanuli Selatan;Prov. Sumatera Utara;1.330.716.000.000;98.984.524.000.000;;;;;1
69926478;PAUD AKHDAN;PAUD Sederajat;JL.Dangol Lumban Tobing;-;AEK SITIO-TIO;Kec. Pandan;Kab. Tapanuli Tengah;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
69812547;PAUD AL - MA RUFI;PAUD Sederajat;Baroh Bugeng;-;Baroh Bugeng;Kec. Nurussalam;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69950549;PAUD AL DANSH;PAUD Sederajat;Jalan Nasional Meulaboh - Tapak Tuan;-;Gunung Cut;Kec. Darul Makmur;Kab. Nagan Raya;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69971833;PAUD Al Ikhlas;PAUD Sederajat;Kelurahan Pardomuan                    ;Pardomuan;KELURAHAN PARDOMUAN;Kec. Angkola Selatan;Kab. Tapanuli Selatan;Prov. Sumatera Utara;1.302.900.000.000;99.188.300.000.000;;;;;1
69979969;PAUD AL0ARIEF;PAUD Sederajat;JL. H. Hasan Perak Dusun I Desa Teluk Meku Kec. Babalan Kab. Langkat;I TITI HITAM;Teluk Meku;Kec. Babalan;Kab. Langkat;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
69922133;PAUD Al-Khipari Desa Batu Mbulan Sepakat;PAUD Sederajat;Batumbulan Sepakat;BATU BULAN SEPAKAT;Batu Bulan Sepakat;Kec. Babussalam;Kab. Aceh Tenggara;Prov. Aceh;-5.443.757.000.000;114.421.127.000.000;;;;;1
69812544;PAUD AL-MALIKUL QUDDUS;PAUD Sederajat;MEDAN - BANDA ACEH;DUSUN ACEH;Seuneubok Pidie;Kec. Peureulak;Kab. Aceh Timur;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
70048220;PAUD AL AHSAN;PAUD Sederajat;JL. BESITANG KEL. ALUR DUA ;-;Alur Dua;Kec. Sei Lepan;Kab. Langkat;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
69974560;PAUD AL0AZMI;PAUD Sederajat;Jln. Padangsidimpuan, Lingk.III Batu Harimau Kelurahan Sibuluan Indah, Kecamatan;-;Sibuluan Indah;Kec. Pandan;Kab. Tapanuli Tengah;Prov. Sumatera Utara;1.697.234.200.000;98.823.714.200.000;;;;;1
69926497;PAUD ANDESGIR;PAUD Sederajat;Desa Sigiringgiring;dsn 2;Sigiring Giring;Kec. Tukka;Kab. Tapanuli Tengah;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
69986043;PAUD ASH-SHAFIYAH;PAUD Sederajat;Jl. Banda - Aceh Medan Km. 229;Balee Kuneng;Pante Gajah;Kec. Peusangan;Kab. Bireuen;Prov. Aceh;0.000000000000;0.000000000000;;;;;1
69967503;PAUD AZ0ZAHRA;PAUD Sederajat;Dusun III Jawa Besilam;-;Besilam;Kec. Padang Tualang;Kab. Langkat;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
69927026;PAUD BANGUN NATIO;PAUD Sederajat;JL. Kolonel Bangun Siregar;-;Sitio-Tio Hilir;Kec. Pandan;Kab. Tapanuli Tengah;Prov. Sumatera Utara;0.000000000000;0.000000000000;;;;;1
