idsbr;nama;alamat;kdprov;kdkab;kdkec;kddesa;nmprov;nmkab;nmkec;nmdesa;status;latitude;longitude;nama_google;url;isna
60145808;SOTO SUKOHARJO DAN KOPI KLOTHOK;JALAN BEKASI TIMUR IV;31;72;060;005;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;Aktif;;;;;2
60145898;NOW CUT BARBERSHOP;JALAN BEKASI TIMUR IV;31;72;060;005;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;Aktif;-6.21725;106.8758626;Nowcut Barbershop;https://www.google.com/maps/place/Nowcut+Barbershop/@-6.21725,106.8758626,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f37fd6f2f85b:0x90de847113b76a35!8m2!3d-6.21725!4d106.8758626!16s%2Fg%2F11qby37sd0?entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D;0
60146058;KEBAB BINTANG;JALAN BEKASI TIMUR IV;31;72;060;005;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;Aktif;;;;;2
